DateTime,AddedIPs,RemovedIPs
1542475226,16,45
1542487226,12,68
1542499225,8,41
1542510625,3,63
1542523224,8,71
1542533429,13,0
1542544828,8,43
1542555627,7,0
1542567026,1,30
1542577826,5,42
1542588626,2,31
1542600626,11,0
1542624027,21,95
1542637227,14,0
1542649827,9,301
1542661827,7,0
1542673826,9,214
1542685225,5,206
1542697225,12,0
1542709227,5,0
1542721227,4,511
1542733827,9,0
1542747026,14,488
1542758427,11,226
1542768626,7,0
1542779425,4,0
1542789631,7,515
1542801027,7,0
1542812427,8,421
1542822027,4,109
1542834027,2,31
1542844227,7,33
1542855025,2,29
1542877229,19,36
1542887428,13,52
1542899428,14,51
1542911428,124,58
1542922227,10,47
1542932427,5,52
1542943827,2,49
1542954027,14,32
1542965429,7,47
1542976228,1124,38
1542988227,250,22
1543000827,33,24
1543012827,15,16
1543024826,14,19
1543035626,11,18
1543047030,8,12
1543059030,6,23
1543071029,4,31
1543083029,5,38
1543095629,4,32
1543118427,49,30
1543129227,7,18
1543140029,8,19
1543150830,11,24
1543161629,11,17
1543171828,14,13
1543182629,5,19
1543192828,10,0
1543203027,6,22
1543214428,6,79
1543227637,6,0
1543239030,8,56
1543249229,8,34
1543260630,9,22
1543281028,6,42
1543310431,2641,44
1543354230,136,139
1543366829,71,15
1543395632,34,29
1543408231,11,48
1543421429,36,28
1543435229,83,25
1543447230,17,11
1543460429,29,17
1543473628,22,82
1543485631,6,36
1543497631,8,28
1543522830,11,39
1543534830,16,16
1543557029,17,21
1543569631,27,27
1543581030,21,34
1543593030,13,41
1543605629,25,68
1543616430,9,153
1543626629,12,0
1543638628,5,71
1543649427,7,35
1543660830,7,49
1543673430,8,39
1543683029,4,36
1543694429,3,45
1543703429,4,43
1543713028,35,0
1543724428,12,18
1543735228,5,21
1543746632,8,38
1543757431,14,39
1543768831,7,23
1543780831,16,23
1543790431,9,16
1543799429,5,13
1543810829,2,15
1543822228,2,28
1543833631,3,17
1543847431,4,31
1543858231,4,29
1543869631,7,22
1543881030,5,0
1543893028,21,84
1543906829,11,0
1543918832,7,723
1543930831,14,0
1543944030,6,0
1543955431,3,0
1543965030,6,280
1543977029,5,101
