DateTime,AddedIPs,RemovedIPs
1542475226,838,631
1542487226,805,828
1542499225,623,730
1542510625,609,656
1542523224,662,690
1542533429,701,588
1542544828,656,645
1542555627,546,634
1542567026,645,610
1542577826,627,560
1542588626,536,568
1542600626,625,726
1542624027,1024,1211
1542637227,785,812
1542649827,731,746
1542661827,723,730
1542673826,626,684
1542685225,631,723
1542697225,655,673
1542709227,696,708
1542721227,809,804
1542733827,876,818
1542747026,855,934
1542758427,818,724
1542768626,608,608
1542779425,628,613
1542789631,722,555
1542801027,546,647
1542812427,612,612
1542822027,559,548
1542834027,600,659
1542844227,569,567
1542855025,594,512
1542877229,954,1035
1542887428,689,645
1542899428,667,768
1542911428,795,714
1542922227,598,632
1542932427,555,566
1542943827,577,608
1542954027,551,566
1542965429,616,673
1542976228,1714,588
1542988227,880,667
1543000827,768,856
1543012827,739,808
1543024826,762,747
1543035626,561,638
1543047030,548,676
1543059030,683,697
1543071029,583,728
1543083029,663,711
1543095629,629,735
1543118427,768,812
1543129227,579,635
1543140029,620,609
1543150830,672,736
1543161629,683,838
1543171828,664,627
1543182629,486,637
1543192828,607,478
1543203027,466,578
1543214428,605,628
1543227637,667,803
1543239030,775,627
1543249229,580,556
1543260630,628,563
1543281028,476,534
1543310431,4223,1001
1543354230,987,1801
1543366829,782,962
1543395632,846,1116
1543408231,851,721
1543421429,718,889
1543435229,881,899
1543447230,743,779
1543460429,775,1053
1543473628,725,927
1543485631,638,818
1543497631,736,666
1543522830,775,830
1543534830,705,571
1543557029,602,623
1543569631,689,1032
1543581030,711,847
1543593030,677,781
1543605629,722,896
1543616430,607,754
1543626629,565,597
1543638628,541,632
1543649427,535,532
1543660830,586,582
1543673430,634,707
1543683029,567,479
1543694429,520,631
1543703429,525,408
1543713028,553,423
1543724428,553,645
1543735228,602,596
1543746632,644,761
1543757431,638,675
1543768831,586,583
1543780831,636,581
1543790431,549,453
1543799429,383,432
1543810829,513,614
1543822228,565,679
1543833631,574,666
