DateTime,Entries,UniqueIPs
1542475226,6252,6252
1542487226,6229,6229
1542499225,6122,6122
1542510625,6075,6075
1542523224,6047,6047
1542533429,6160,6160
1542544828,6171,6171
1542555627,6083,6083
1542567026,6118,6118
1542577826,6185,6185
1542588626,6153,6153
1542600626,6052,6052
1542624027,5865,5865
1542637227,5838,5838
1542649827,5823,5823
1542661827,5816,5816
1542673826,5758,5758
1542685225,5666,5666
1542697225,5648,5648
1542709227,5636,5636
1542721227,5641,5641
1542733827,5699,5699
1542747026,5620,5620
1542758427,5714,5714
1542768626,5714,5714
1542779425,5729,5729
1542789631,5896,5896
1542801027,5795,5795
1542812427,5795,5795
1542822027,5806,5806
1542834027,5747,5747
1542844227,5749,5749
1542855025,5831,5831
1542877229,5750,5750
1542887428,5794,5794
1542899428,5693,5693
1542911428,5774,5774
1542922227,5740,5740
1542932427,5729,5729
1542943827,5698,5698
1542954027,5683,5683
1542965429,5626,5626
1542976228,6752,6752
1542988227,6965,6965
1543000827,6877,6877
1543012827,6808,6808
1543024826,6823,6823
1543035626,6746,6746
1543047030,6618,6618
1543059030,6604,6604
1543071029,6459,6459
1543083029,6411,6411
1543095629,6305,6305
1543118427,6261,6261
1543129227,6205,6205
1543140029,6216,6216
1543150830,6152,6152
1543161629,5997,5997
1543171828,6034,6034
1543182629,5883,5883
1543192828,6012,6012
1543203027,5900,5900
1543214428,5877,5877
1543227637,5741,5741
1543239030,5889,5889
1543249229,5913,5913
1543260630,5978,5978
1543281028,5920,5920
1543310431,9142,9142
1543354230,8328,8328
1543366829,8148,8148
1543395632,7878,7878
1543408231,8008,8008
1543421429,7837,7837
1543435229,7819,7819
1543447230,7783,7783
1543460429,7505,7505
1543473628,7303,7303
1543485631,7123,7123
1543497631,7193,7193
1543522830,7138,7138
1543534830,7272,7272
1543557029,7251,7251
1543569631,6908,6908
1543581030,6772,6772
1543593030,6668,6668
1543605629,6494,6494
1543616430,6347,6347
1543626629,6315,6315
1543638628,6224,6224
1543649427,6227,6227
1543660830,6231,6231
1543673430,6158,6158
1543683029,6246,6246
1543694429,6135,6135
1543703429,6252,6252
1543713028,6382,6382
1543724428,6290,6290
1543735228,6296,6296
1543746632,6179,6179
1543757431,6142,6142
1543768831,6145,6145
1543780831,6200,6200
1543790431,6296,6296
1543799429,6247,6247
1543810829,6146,6146
1543822228,6032,6032
1543833631,5940,5940
1543847431,5736,5736
1543858231,5861,5861
1543869631,5791,5791
1543881030,5812,5812
1543893028,5718,5718
1543906829,5562,5562
1543918832,5301,5301
1543930831,5299,5299
1543944030,5356,5356
1543955431,5402,5402
1543965030,5485,5485
1543977029,5445,5445
1543987829,5335,5335
1543999232,5292,5292
1544011231,5304,5304
1544022031,5277,5277
1544031631,5332,5332
1544042430,5460,5460
1544062230,5524,5524
1544073630,5542,5542
1544085031,5455,5455
1544095833,5398,5398
1544106030,5387,5387
1544115631,5501,5501
1544125831,5448,5448
1544144430,5588,5588
1544153429,5623,5623
1544163629,5619,5619
1544174431,5578,5578
1544185231,5555,5555
1544206831,5430,5430
1544217631,5460,5460
1544227232,5564,5564
1544236229,5517,5517
1544256633,5478,5478
1544267432,5448,5448
1544289632,5560,5560
1544310631,5469,5469
1544320831,5625,5625
1544331029,5604,5604
1544343033,5453,5453
1544355033,5386,5386
1544375431,5431,5431
1544386831,5572,5572
1544397031,5487,5487
1544408429,5539,5539
1544419830,5578,5578
1544430632,5326,5326
1544441433,5359,5359
1544462431,5317,5317
1544472632,5435,5435
1544493030,5490,5490
1544505030,5431,5431
1544517032,5298,5298
1544528433,5299,5299
1544550632,5105,5105
1544560830,5227,5227
1544571031,5431,5431
1544580630,5415,5415
1544592630,5248,5248
1544614233,5179,5179
1544625032,5180,5180
1544634033,5281,5281
1544643030,5396,5396
1544651431,5408,5408
1544660431,7701,7701
1544675430,8373,8373
1544691033,8184,8184
1544707233,8153,8153
1544721632,8309,8309
1544750431,8577,8577
1544766031,8496,8496
1544795432,8368,8368
1544809831,8604,8604
1544825432,8396,8396
1544841031,8340,8340
1544855429,8238,8238
1544869831,8188,8188
1544883632,8223,8223
1544897431,8394,8394
1544925629,8461,8461
1544939430,8344,8344
1544953833,8238,8238
1544967633,8317,8317
1544982033,8311,8311
1544996433,8314,8314
1545009630,8379,8379
1545024031,8277,8277
1545053432,8166,8166
1545067832,8151,8151
1545081631,8019,8019
1545094831,8202,8202
1545108630,8087,8087
1545138033,7922,7922
1545151832,7824,7824
1545165632,9445,9445
1545181831,9466,9466
1545200431,8898,8898
1545217833,8525,8525
1545236434,8221,8221
1545252033,8032,8032
1545267632,7854,7854
1545282031,7721,7721
1545295833,7726,7726
1545324633,7663,7663
1545339033,7682,7682
1545352231,7678,7678
1545364831,7658,7658
1545378631,7572,7572
1545392433,7531,7531
1545408633,7466,7466
1545424832,7373,7373
1545439231,7417,7417
1545468034,7061,7061
1545481233,7138,7138
1545493232,7171,7171
1545506433,7141,7141
1545517832,7201,7201
1545529231,7269,7269
1545540031,7098,7098
1545553233,6826,6826
1545565234,6635,6635
1545577832,6448,6448
1545589833,6332,6332
1545600032,6416,6416
1545610832,6465,6465
1545621631,6383,6383
1545634231,6254,6254
1545645632,6236,6236
1545657033,6088,6088
1545669033,6083,6083
1545679832,6075,6075
1545690633,6067,6067
1545700831,6120,6120
1545712230,6037,6037
1545724230,5874,5874
1545736833,5827,5827
1545748234,5784,5784
1545758433,5821,5821
1545770433,5747,5747
1545782432,5729,5729
1545793232,5709,5709
1545802830,5751,5751
1545814833,5734,5734
1545825634,5647,5647
1545835833,5712,5712
1545846032,5928,5928
1545857433,6008,6008
1545868232,6050,6050
1545879631,6109,6109
1545890431,6079,6079
1545901233,6051,6051
1545911433,6015,6015
1545922232,6091,6091
1545933033,6141,6141
1545943832,6007,6007
1545954032,6116,6116
1545964832,6095,6095
1545976230,6091,6091
1545987033,6008,6008
1545997232,6121,6121
1546009233,6086,6086
1546018833,6148,6148
1546030232,6093,6093
1546040432,6113,6113
1546052431,6066,6066
1546063830,5996,5996
1546073434,5997,5997
1546084233,6005,6005
1546095033,5997,5997
1546105232,6044,6044
1546116033,6013,6013
1546128032,5990,5990
1546137631,5985,5985
1546149030,5866,5866
1546159834,5835,5835
1546170634,5795,5795
1546182034,5657,5657
1546191040,5774,5774
1546200633,5733,5733
1546210832,5857,5857
1546219832,5816,5816
1546229431,5740,5740
1546239031,5676,5676
1546249233,5712,5712
1546260033,5680,5680
1546272032,5508,5508
1546281032,5679,5679
1546291832,5664,5664
