DateTime,AddedIPs,RemovedIPs
1542834039,10,7
1542844234,9,8
1542855034,9,6
1542866441,7,4
1542877238,10,13
1542887433,10,8
1542899443,10,7
1542911435,8,14
1542922234,6,10
1542932434,15,8
1542943837,10,6
1542954036,8,3
1542965441,10,7
1542976237,13,15
1542988238,12,5
1543000839,10,18
1543012838,8,11
1543024842,12,4
1543035654,6,4
1543047038,12,5
1543059056,8,6
1543071038,13,12
1543083043,7,6
1543095641,9,7
1543107644,11,13
1543118438,7,4
1543129243,9,6
1543140044,5,12
1543150846,8,5
1543161656,8,3
1543171839,9,10
1543182642,10,6
1543192839,3,12
1543203052,10,8
1543214439,11,10
1543227646,8,13
1543239039,10,5
1543249239,11,5
1543260643,8,11
1543270241,0,6
1543281039,11,9
1543296638,0,18
1543310444,12,6
1543324844,5,16
1543339854,9,11
1543354243,6,10
1543366848,12,20
1543381842,10,10
1543395641,8,9
1543408245,14,11
1543421439,7,5
1543435244,8,14
1543447241,11,14
1543460457,9,11
1543473640,8,9
1543485644,11,14
1543497641,9,7
1543510242,8,12
1543522842,7,10
1543534842,10,8
1543546839,0,4
1543557042,0,7
1543569640,9,11
1543581039,9,6
1543593040,7,15
1543605640,11,12
1543616440,6,7
1543626640,7,8
1543638641,9,12
1543649440,10,16
1543660839,7,8
1543673440,10,10
1543683040,7,7
1543694442,4,14
1543703442,5,13
1543713039,8,6
1543724443,7,0
1543735251,6,9
1543746647,8,12
1543757442,11,16
1543768843,10,13
1543780857,9,7
1543790441,8,4
1543799439,7,4
1543810844,5,8
1543822242,8,16
1543833644,9,4
1543847439,6,13
1543858240,10,9
1543869640,9,8
1543881039,9,10
1543893039,10,14
1543906839,7,8
1543918840,7,18
1543930839,10,10
1543944039,5,12
1543955445,8,10
1543965039,8,6
1543977039,7,11
1543987839,8,7
1543999239,6,14
1544011249,5,13
1544022057,7,7
1544031640,8,7
1544042439,6,11
1544053240,0,13
1544062241,11,7
1544073641,8,4
1544085048,9,8
1544095857,12,14
1544106057,7,9
1544115652,5,14
1544125841,7,8
1544134840,0,10
1544144450,9,9
1544153449,11,8
1544163640,9,12
1544174440,7,15
1544185240,10,9
1544196652,0,10
1544206841,6,19
1544217658,9,12
1544227255,6,8
1544236254,8,12
1544245844,4,11
1544267441,8,9
1544278840,0,11
1544289641,6,8
1544310641,6,7
1544320856,6,10
1544331040,9,0
1544343041,6,7
1544355058,7,8
1544365850,0,8
1544375440,8,0
1544386835,0,9
1544397040,7,7
1544408439,8,0
1544419840,8,10
1544430639,9,6
1544441443,7,0
1544451639,0,8
1544462440,10,12
1544472640,3,0
1544481642,12,7
1544493040,0,8
1544505041,7,8
1544517045,7,7
1544528441,6,0
1544539840,0,9
1544550641,7,9
1544560840,7,0
1544571049,8,9
1544580647,9,9
1544592639,8,0
1544603440,0,5
1544614240,4,7
1544625040,7,0
1544634046,10,5
1544643047,8,0
1544651455,7,6
1544660441,14,8
1544675449,8,10
1544691042,9,6
1544707242,4,7
1544721644,10,8
1544736643,8,7
1544750442,10,9
1544766044,8,0
1544781042,12,12
1544795442,11,6
1544809843,8,9
1544825443,10,7
1544841042,11,8
1544855444,9,5
1544869841,13,16
1544883642,11,6
1544897445,7,10
1544912445,8,6
1544925642,8,6
1544939443,7,4
1544953859,9,17
1544967642,9,7
1544982043,11,5
1544996443,13,17
1545009641,6,9
1545024043,7,5
1545039043,11,9
1545053443,13,10
1545067844,13,15
1545081642,13,6
1545094842,10,8
1545108642,11,10
1545123643,7,6
1545138043,7,20
1545151842,8,11
1545165644,10,7
1545181845,9,15
1545200443,14,0
1545217843,7,10
1545236444,15,9
1545252043,8,5
1545267642,11,23
1545282042,10,9
1545295842,15,6
1545310842,13,10
1545324644,12,5
1545339043,10,7
1545352242,11,19
1545364842,10,9
1545378642,9,7
1545392443,9,14
1545408644,8,6
1545424842,7,7
1545439259,11,17
1545454242,10,7
1545468042,7,6
1545481242,10,17
1545493242,10,8
1545506443,12,5
1545517847,9,6
1545529242,8,7
1545540041,8,10
1545553244,6,9
1545565242,6,6
1545577841,11,9
1545589845,10,10
1545600042,4,10
1545610842,6,9
1545621642,11,9
1545634259,14,5
1545645650,14,9
1545657042,10,6
1545669049,6,7
1545679848,11,11
1545690643,8,10
1545700842,8,0
1545712240,12,25
1545724241,5,5
1545736844,6,7
1545748242,7,10
1545758441,8,8
1545770442,9,13
1545782447,10,8
1545793241,9,7
1545802840,7,7
1545814858,6,9
1545825642,8,9
1545835841,7,10
1545846040,9,13
1545857442,8,0
1545868242,6,14
1545879652,7,0
1545890458,11,5
1545901258,6,0
1545911442,8,13
1545922241,11,5
1545933042,10,13
1545943842,9,0
1545954041,6,10
1545964843,10,5
1545976240,9,9
1545987044,5,0
1545997241,7,11
1546009242,8,7
1546018852,13,8
1546030242,10,4
1546040441,6,0
1546052441,8,11
1546063840,9,10
1546073441,12,11
1546084258,6,7
1546095041,9,11
1546105241,7,11
1546116042,7,0
1546128043,10,7
1546137641,6,0
1546149041,4,0
1546159843,9,8
1546170641,7,9
1546182048,9,7
1546191047,7,8
1546200641,6,10
1546210842,8,5
1546219843,7,9
1546229442,8,0
1546239041,5,6
1546249241,6,8
1546260042,8,8
1546272046,8,11
1546281042,9,9
1546291843,8,3
1546300241,10,5
1546310446,6,10
1546319440,9,7
1546330848,5,6
1546340441,6,7
1546348840,8,7
1546357842,9,0
1546368041,11,8
1546378841,7,8
1546389040,8,8
1546398640,7,9
1546410040,4,7
1546420841,10,8
1546431049,9,9
1546440640,7,11
1546450840,9,10
1546461640,9,8
1546472440,5,0
1546481441,5,6
1546492840,10,9
1546503640,10,5
1546513841,8,8
1546524640,11,0
1546534241,9,13
1546543841,7,8
1546553440,6,11
1546563043,8,8
1546573840,13,10
1546584641,10,11
1546594840,10,6
1546606242,9,8
1546617648,8,8
1546627841,4,9
1546637441,10,0
1546646453,10,11
1546654840,7,9
1546664458,8,7
1546674050,7,0
1546684841,8,8
1546694441,8,9
1546704641,5,9
1546715456,10,9
1546726241,8,0
1546737040,8,6
1546746041,6,17
1546756840,6,10
1546767052,9,8
1546776045,8,0
1546786241,9,0
1546795841,9,8
1546806049,8,7
1546816240,4,5
1546826458,8,8
1546836641,8,7
1546846841,11,6
1546857058,7,0
1546866640,10,0
1546877440,7,7
1546888842,8,0
1546899040,4,8
1546909241,7,4
1546918241,8,8
1546927841,9,8
1546939240,5,8
1546949441,7,0
1546961444,9,6
1546971046,10,0
1546980641,8,9
1546991441,8,8
1547002849,5,10
1547013039,9,8
1547023839,8,9
1547034641,7,0
1547046640,7,10
1547057440,7,10
1547068841,7,5
1547078453,8,0
1547088040,5,11
1547099439,7,0
1547111440,8,14
1547122841,6,0
1547133640,7,7
1547144441,4,9
1547155841,5,10
1547166040,6,6
1547176239,3,10
1547187639,4,0
1547199640,8,5
1547211040,7,11
1547221240,9,8
1547230240,9,9
1547239839,7,7
1547248840,9,8
1547258440,5,8
1547268039,4,6
1547279439,10,0
1547289053,7,6
1547298040,5,0
1547307040,6,6
1547316639,7,11
1547328040,5,0
1547338843,9,11
1547348448,8,8
1547357457,9,7
1547367039,9,0
1547377243,6,8
1547385639,8,11
1547395240,9,0
1547404841,5,7
1547415639,3,0
1547423440,8,13
1547433040,7,0
1547442638,5,10
1547453438,7,12
1547461847,6,8
1547472056,7,0
1547481040,6,10
1547491240,0,9
1547502040,9,0
1547511640,6,12
1547521239,10,8
1547530838,11,0
1547541045,9,6
1547550639,5,9
1547562041,7,7
1547571040,6,0
1547580040,7,6
1547589040,0,9
1547599239,5,0
1547608839,7,6
1547618444,0,9
1547626839,9,0
1547637040,7,9
1547645439,7,11
1547654449,5,0
1547664640,0,14
1547674240,7,8
1547682639,6,0
1547692240,7,10
1547701239,5,12
1547711439,6,0
1547721639,6,11
1547731840,10,8
1547740838,9,0
1547749843,9,10
1547758839,4,5
1547767240,5,0
1547776838,6,10
1547785838,6,0
1547794841,8,9
1547803839,4,0
1547812839,10,8
1547821841,12,0
1547830243,6,9
1547841040,8,0
1547850639,7,8
1547859039,10,7
