DateTime,AddedIPs,RemovedIPs
1542624033,25,24
1542637233,19,19
1542649834,16,17
1542661833,21,19
1542673833,22,21
1542685233,25,26
1542697233,25,25
1542709233,22,23
1542721233,16,16
1542733833,17,16
1542747033,17,18
1542758443,20,18
1542768633,24,26
1542779432,23,23
1542789638,23,22
1542801033,24,25
1542812435,19,20
1542822034,25,22
1542834039,21,23
1542844234,24,22
1542855034,22,24
1542866441,23,23
1542877238,24,23
1542887433,25,26
1542899443,22,20
1542911435,24,26
1542922234,16,17
1542932434,24,23
1542943837,23,23
1542954036,23,24
1542965441,23,22
1542976237,25,25
1542988238,26,25
1543000839,25,25
1543012838,24,24
1543024842,26,25
1543035654,17,20
1543047038,27,24
1543059056,24,26
1543071038,24,24
1543083043,18,18
1543095641,23,23
1543107644,25,23
1543118438,25,26
1543129243,25,26
1543140044,24,25
1543150846,23,21
1543161656,23,25
1543171839,27,24
1543182642,25,26
1543192839,21,26
1543203052,25,21
1543214439,26,24
1543227646,24,25
1543239039,25,24
1543249239,26,26
1543260643,24,24
1543281039,26,27
1543310444,26,26
1543324844,19,23
1543339854,21,17
1543354243,25,25
1543366848,24,24
1543381842,21,23
1543395641,23,20
1543408245,25,27
1543421439,22,21
1543435244,19,24
1543447241,26,20
1543460457,24,26
1543473640,24,23
1543485644,24,23
1543497641,25,25
1543510242,24,26
1543522842,25,25
1543534842,21,20
1543569640,26,26
1543581039,25,25
1543593040,22,23
1543605640,23,22
1543616440,22,25
1543626640,23,19
1543638641,21,22
1543649440,25,25
1543660839,24,24
1543673440,25,24
1543683040,25,27
1543694442,19,22
1543703442,24,22
1543713039,27,24
1543724443,23,24
1543735251,23,25
1543746647,22,22
1543757442,25,23
1543768843,27,26
1543780857,22,24
1543790441,24,25
1543799439,26,24
1543810844,21,23
1543822242,24,23
1543833644,24,24
1543847439,23,22
1543858240,27,26
1543869640,25,26
1543881039,22,23
1543893039,24,24
1543906839,19,22
1543918840,24,22
1543930839,27,24
1543944039,24,25
1543955445,24,25
1543965039,26,25
1543977039,26,26
1543987839,26,26
1543999239,25,26
1544011249,24,24
1544022057,26,24
1544031640,27,27
1544042439,22,24
1544062241,27,25
1544073641,24,27
1544085048,24,22
1544095857,25,25
1544106057,22,24
1544115652,22,21
1544125841,23,22
1544144450,27,26
1544153449,27,27
1544163640,25,26
1544174440,23,25
1544185240,27,24
1544206841,23,25
1544217658,24,24
1544227255,25,24
1544236254,25,24
1544245844,26,27
1544267441,25,25
1544289641,26,26
1544310641,23,24
1544320856,26,25
1544331040,27,26
1544343041,24,27
1544355058,23,22
1544375440,25,24
1544397040,24,24
1544408439,26,26
1544419840,27,26
1544430639,26,26
1544441443,26,26
1544462440,27,27
1544472640,23,26
1544481642,26,23
1544505041,27,27
1544517045,23,26
1544528441,23,22
1544550641,26,24
1544560840,26,27
1544571049,21,23
1544580647,26,23
1544592639,25,27
1544614240,22,21
1544625040,24,24
1544634046,25,25
1544643047,23,23
1544651455,24,25
1544660441,27,25
1544675449,22,25
1544691042,22,21
1544707242,21,23
1544721644,22,20
1544736643,18,18
1544750442,22,21
1544766044,19,21
1544781042,21,20
1544795442,22,21
1544809843,20,22
1544825443,24,21
1544841042,25,26
1544855444,26,26
1544869841,22,22
1544883642,25,25
1544897445,20,21
1544912445,22,21
1544925642,19,22
1544939443,23,20
1544953859,21,21
1544967642,23,24
1544982043,17,18
1544996443,26,24
1545009641,21,23
1545024043,22,21
1545039043,26,25
1545053443,25,26
1545067844,25,24
1545081642,24,23
1545094842,22,23
1545108642,26,25
1545123643,19,20
1545138043,24,26
1545151842,24,24
1545165644,25,23
1545181845,17,18
1545200443,25,25
1545217843,23,24
1545236444,24,21
1545252043,16,18
1545267642,21,20
1545282042,17,17
1545295842,24,24
1545310842,26,25
1545324644,24,25
1545339043,25,26
1545352242,24,22
1545364842,18,21
1545378642,24,22
1545392443,23,25
1545408644,21,19
1545424842,15,16
1545439259,26,24
1545454242,23,24
1545468042,18,20
1545481242,20,19
1545493242,23,21
1545506443,20,22
1545517847,23,22
1545529242,22,23
1545540041,26,24
1545553244,19,22
1545565242,21,20
1545577841,18,18
1545589845,21,22
1545600042,21,23
1545610842,24,22
1545621642,25,22
1545634259,26,27
1545645650,25,24
1545657042,24,27
1545669049,21,21
1545679848,27,24
1545690643,25,27
1545700842,25,25
1545712240,25,23
1545724241,26,27
1545736844,18,22
1545748242,25,22
1545758441,25,25
1545770442,27,25
1545782447,22,24
1545793241,26,24
1545802840,25,27
1545814858,25,25
1545825642,25,25
1545835841,20,20
1545846040,24,23
1545857442,19,18
1545868242,26,26
1545879652,25,27
1545890458,26,24
1545901258,22,23
1545911442,26,26
1545922241,25,24
1545933042,26,26
1545943842,25,26
1545954041,20,23
1545964843,21,19
1545976240,25,23
1545987044,20,25
1545997241,27,22
1546009242,26,27
1546018852,26,25
1546030242,23,24
1546040441,26,26
1546052441,25,24
1546063840,26,26
1546073441,26,27
1546084258,23,25
1546095041,25,23
1546105241,24,24
1546116042,23,25
1546128043,25,22
1546137641,23,26
1546149041,21,22
1546159843,22,21
1546170641,24,23
1546182048,22,21
1546191047,25,26
1546200641,22,23
1546210842,24,23
1546219843,24,24
1546229442,22,22
1546239041,24,24
1546249241,21,20
1546260042,26,25
1546272046,22,25
1546281042,26,24
1546291843,24,23
1546300241,25,27
1546310446,26,25
1546319440,26,26
1546330848,23,23
1546340441,25,25
1546348840,24,25
1546357842,24,24
1546368041,25,23
1546378841,22,24
1546389040,22,22
1546398640,25,24
1546410040,22,23
1546420841,21,20
1546431049,24,24
