DateTime,Entries,UniqueIPs
1547537531,4827,4827
1547538005,4826,4826
1547538485,4829,4829
1547538965,4824,4824
1547539449,4828,4828
1547539926,4827,4827
1547540405,4829,4829
1547541131,4832,4832
1547541607,4831,4831
1547542088,4832,4832
1547600647,4827,4827
1547601128,4825,4825
1547601608,4824,4824
1547602086,4823,4823
1547602806,4823,4823
1547603524,4824,4824
1547604054,4826,4826
1547604485,4827,4827
1547604970,4827,4827
1547605445,4823,4823
1547605930,4823,4823
1547606649,4821,4821
1547607126,4824,4824
1547607613,4827,4827
1547608328,4823,4823
1547608806,4826,4826
1547609530,4820,4820
1547610245,4824,4824
1547610725,4824,4824
1547611214,4826,4826
1547611931,4827,4827
1547612406,4825,4825
1547612886,4820,4820
1547613606,4825,4825
1547614325,4824,4824
1547614823,4825,4825
1547615286,4825,4825
1547616012,4824,4824
1547616485,4824,4824
1547616969,4827,4827
1547617446,4827,4827
1547617927,4828,4828
1547618410,4827,4827
1547619126,4825,4825
1547619605,4818,4818
1547620330,4817,4817
1547620804,4817,4817
1547621524,4819,4819
1547622250,4820,4820
1547622725,4819,4819
1547623205,4818,4818
1547623685,4820,4820
1547624407,4816,4816
1547625125,4819,4819
1547625628,4817,4817
1547626087,4818,4818
1547626566,4822,4822
1547627047,4825,4825
1547627532,4820,4820
1547687526,4814,4814
1547688010,4808,4808
1547688730,4811,4811
1547689204,4810,4810
1547689689,4816,4816
1547690167,4815,4815
1547690649,4811,4811
1547691126,4813,4813
1547691605,4813,4813
1547692327,4815,4815
1547692807,4816,4816
1547693287,4817,4817
1547693765,4813,4813
1547694247,4819,4819
1547694729,4816,4816
1547695205,4816,4816
1547695927,4818,4818
1547696405,4817,4817
1547697128,4817,4817
1547697613,4821,4821
1547698087,4824,4824
1547698808,4818,4818
1547699529,4818,4818
1547700007,4822,4822
1547700484,4822,4822
1547700965,4820,4820
1547701446,4821,4821
1547701928,4820,4820
1547702411,4819,4819
1547703127,4820,4820
1547703605,4821,4821
1547704329,4819,4819
1547704811,4819,4819
1547705529,4822,4822
1547706009,4818,4818
1547706487,4820,4820
1547707205,4818,4818
1547707927,4817,4817
1547708428,4819,4819
1547708888,4819,4819
1547709368,4818,4818
1547709846,4814,4814
1547710327,4820,4820
1547710805,4818,4818
1547711287,4821,4821
1547711767,4817,4817
1547712247,4817,4817
1547712725,4816,4816
1547713206,4818,4818
1547713930,4824,4824
1547714404,4825,4825
1547714885,4824,4824
1547715618,4825,4825
1547751847,4824,4824
1547752325,4825,4825
1547773687,4818,4818
1547774169,4818,4818
1547774646,4816,4816
1547775127,4819,4819
1547775604,4818,4818
1547776089,4815,4815
1547776567,4816,4816
1547777047,4816,4816
1547777526,4815,4815
1547778009,4814,4814
1547778728,4819,4819
1547779204,4816,4816
1547779928,4817,4817
1547780412,4820,4820
1547781126,4819,4819
1547781605,4823,4823
1547782326,4825,4825
1547782805,4819,4819
1547783284,4823,4823
1547783765,4819,4819
1547784246,4821,4821
1547784728,4819,4819
1547785205,4820,4820
1547785931,4819,4819
1547786405,4821,4821
1547786884,4820,4820
1547787365,4820,4820
1547787849,4823,4823
1547788334,4820,4820
1547788817,4822,4822
1547789287,4821,4821
1547790006,4824,4824
1547790488,4817,4817
1547790965,4820,4820
1547791446,4819,4819
1547791927,4814,4814
1547792405,4815,4815
1547793130,4819,4819
1547793606,4818,4818
1547794326,4815,4815
1547794823,4820,4820
1547795525,4814,4814
1547796007,4815,4815
1547796485,4815,4815
1547796964,4815,4815
1547797449,4814,4814
1547797925,4817,4817
1547798409,4816,4816
1547799128,4818,4818
1547799613,4822,4822
1547800085,4822,4822
1547800566,4823,4823
1547801045,4824,4824
1547811126,4823,4823
1547811606,4824,4824
1547860086,4819,4819
1547860565,4819,4819
1547861047,4822,4822
1547861532,4818,4818
1547862007,4821,4821
1547862728,4817,4817
1547863214,4821,4821
1547863685,4823,4823
1547864168,4818,4818
1547864648,4817,4817
1547865129,4816,4816
1547865604,4818,4818
1547866089,4819,4819
1547866812,4816,4816
1547867530,4815,4815
1547868012,4819,4819
1547868487,4818,4818
1547868966,4818,4818
1547869446,4818,4818
1547869924,4818,4818
1547870413,4816,4816
1547871135,4817,4817
1547871608,4814,4814
1547872085,4814,4814
1547872569,4815,4815
1547873046,4814,4814
1547873528,4817,4817
1547874016,4818,4818
1547874726,4816,4816
1547875208,4815,4815
1547875931,4818,4818
1547876408,4817,4817
1547876886,4818,4818
1547877365,4818,4818
1547877847,4822,4822
1547878325,4820,4820
1547878810,4822,4822
1547879284,4819,4819
1547879764,4820,4820
1547880244,4818,4818
1547880729,4818,4818
1547881244,4820,4820
1547881685,4819,4819
1547882168,4821,4821
1547882649,4818,4818
1547883130,4823,4823
1547883604,4820,4820
1547884085,4818,4818
1547884828,4820,4820
1547885531,4821,4821
1547886004,4824,4824
1547886484,4832,4832
1547886963,4830,4830
1547887447,4830,4830
1547887924,4831,4831
1547934005,4830,4830
1547934728,4831,4831
1547946485,4824,4824
1547946964,4827,4827
1547947446,4823,4823
1547947928,4826,4826
1547948405,4821,4821
1547949126,4821,4821
1547949623,4827,4827
1547950085,4823,4823
1547950807,4822,4822
1547951284,4823,4823
1547951765,4828,4828
1547952249,4831,4831
1547952727,4827,4827
1547953213,4825,4825
1547953926,4829,4829
1547954404,4832,4832
1547954888,4826,4826
1547955366,4823,4823
1547955846,4825,4825
1547956324,4826,4826
1547956884,4825,4825
1547957285,4829,4829
1547957764,4826,4826
1547958245,4826,4826
1547958726,4823,4823
1547959204,4826,4826
1547959929,4829,4829
1547960425,4824,4824
1547960887,4824,4824
1547961369,4823,4823
1547961845,4820,4820
1547962329,4819,4819
1547962804,4821,4821
1547963287,4824,4824
1547963765,4820,4820
1547964247,4819,4819
1547964727,4822,4822
1547965208,4820,4820
1547965686,4822,4822
1547966165,4828,4828
1547966645,4823,4823
1547967126,4827,4827
1547967618,4824,4824
1547968329,4823,4823
1547968803,4821,4821
1547969287,4823,4823
1547970006,4820,4820
1547970488,4827,4827
1547971241,4823,4823
1547971926,4824,4824
1547972407,4827,4827
1547972885,4831,4831
1547996646,4830,4830
1547997130,4831,4831
1548033373,4826,4826
1548033845,4823,4823
