DateTime,AddedIPs,RemovedIPs
1547929323,5,0
1547929922,7,8
1547930523,6,4
1547931723,7,8
1547932923,8,17
1547934123,8,11
1547934723,7,8
1547935323,15,0
1547936523,9,13
1547937723,8,11
1547938324,8,5
1547938923,6,9
1547939524,4,0
1547940123,3,12
1547941323,18,4
1547942524,3,0
1547943722,11,18
1547944323,6,10
1547944923,9,0
1547946123,12,19
1547947322,27,16
1547947923,5,7
1547948523,5,20
1547949125,4,0
1547949723,5,0
1547950323,4,25
1547950922,5,11
1547951523,7,0
1547952123,13,11
1547953323,6,9
1547954524,2,23
1547955123,9,0
1547955722,6,0
1547956923,6,24
1547958124,7,18
1547958723,10,0
1547959323,6,2
1547960523,6,6
1547961723,7,21
1547962923,3,5
1547964124,13,11
1547965323,3,6
1547965923,4,13
1547966523,10,12
1547967723,6,20
1547968323,2,11
1547968923,6,11
1547970123,2,16
1547970723,11,4
1547971323,9,0
1547972523,7,5
1547973123,8,2
1547973723,14,0
1547974323,4,10
1547974924,6,0
1547975524,2,10
1547976123,3,8
1547976723,3,5
1547977323,6,3
1547978523,4,5
1547979124,4,5
1547979723,7,23
1547980923,5,0
1547981524,5,5
1547982123,4,7
1547982724,23,7
1547983322,11,0
1547983923,15,13
1547984522,6,8
1547985123,8,0
1547985723,12,12
1547986923,9,0
1547987524,13,6
1547988123,5,0
1547988723,17,8
1547989323,13,5
1547990523,11,0
1547991123,8,6
1547991723,7,4
1547992323,8,3
1547992922,11,0
1547994123,1,13
1547994723,7,7
1547995323,3,6
1547996523,8,5
1547997123,12,0
1547997723,4,0
1547998924,6,9
1547999524,4,0
1548000124,7,5
1548000723,13,4
1548001323,3,1
1548001922,1,15
1548002523,2,0
1548003723,5,8
1548004923,4,9
1548006123,4,14
1548007323,2,23
1548008525,5,5
1548009723,6,0
1548010923,1,4
1548011524,3,13
1548012124,8,0
1548012723,9,1
1548013323,12,10
1548014523,5,0
1548015723,14,52
1548016323,9,0
1548016923,4,13
1548017523,5,0
1548018123,3,72
1548019322,4,9
1548019924,8,0
1548020523,11,27
1548021123,12,7
1548021723,4,0
1548022924,6,9
1548023523,5,9
1548024123,2,6
1548025325,4,8
1548025924,8,2
1548026523,8,4
1548027123,9,9
1548027724,9,19
1548028925,13,2
1548029523,9,7
1548030123,11,6
1548030723,8,10
1548031323,12,0
1548031923,5,5
1548032523,16,6
1548033124,14,0
1548033724,8,0
1548034922,4,17
1548035522,8,0
1548036123,3,8
1548036723,4,4
1548037323,8,12
1548037923,55,9
1548038523,13,12
1548039123,8,9
1548039723,9,8
1548040922,13,4
1548042123,5,14
1548043324,8,8
1548044522,7,7
1548045123,5,21
1548045723,4,0
1548046923,7,28
1548047523,4,11
1548048124,2,7
1548049323,8,36
1548050523,2,10
1548051123,4,0
1548051723,10,0
1548052323,7,7
1548052923,9,8
1548053523,8,3
1548054124,13,15
1548055323,8,17
1548055922,13,0
1548056522,7,29
1548057723,5,16
1548058323,9,5
1548058923,14,2
1548059522,5,4
1548060123,11,10
1548060723,8,13
1548061322,9,0
1548061923,8,8
1548062523,5,0
1548063123,7,6
1548063723,6,9
1548064924,4,17
1548066123,13,20
1548067323,8,2
1548068523,5,16
1548069123,6,13
1548069723,10,0
1548070322,0,7
1548070922,7,9
1548071523,8,10
1548072123,10,0
1548073322,6,20
1548074523,3,26
1548075123,8,0
1548075723,9,26
1548076922,2,0
1548078123,5,21
1548079323,9,27
1548080523,3,0
1548081724,9,21
1548082924,9,13
1548083524,5,0
1548084123,3,8
1548084723,9,10
1548085323,7,10
1548086523,4,16
1548087723,50,15
1548088323,9,0
1548088924,8,29
1548090123,11,0
1548090723,6,11
1548091322,4,0
1548091922,8,6
1548092523,7,11
1548093723,1,12
1548094324,5,17
1548094923,18,0
1548095523,6,6
1548096124,14,6
1548097324,6,1
1548097923,15,0
1548098523,6,6
1548099123,3,0
1548099723,11,7
1548100323,7,0
1548100923,13,6
1548101523,6,0
1548102123,7,8
1548103322,17,14
1548104522,16,6
1548105723,9,18
1548106324,2,0
1548106922,15,0
1548108123,8,6
1548108723,1,15
1548109324,8,0
1548109922,9,0
1548110523,20,15
1548111723,4,4
1548112923,2,9
1548113523,8,6
1548114123,9,0
1548114723,8,8
1548115324,4,6
1548116522,6,5
1548117123,2,25
1548117722,3,6
1548118922,3,10
1548120123,3,0
1548121323,6,22
1548121922,2,0
1548122524,8,10
1548123123,7,19
1548123723,12,17
1548124323,10,0
1548124924,56,8
1548125523,7,0
1548126124,10,0
1548127323,10,15
1548127923,8,0
1548128523,9,5
1548129722,6,0
1548130922,10,11
1548131523,8,24
1548132122,12,0
1548133323,7,15
1548133923,6,0
1548134523,7,16
1548135723,2,0
1548136323,1,15
1548136923,9,1
1548137523,3,8
1548138122,12,10
1548138723,0,15
1548139323,6,0
1548139922,11,4
1548140523,12,20
1548141723,9,25
1548142924,8,2
1548144124,10,26
1548144725,5,7
1548145323,9,0
1548146523,3,33
1548147122,9,0
1548147724,11,8
1548148924,7,31
1548150123,7,6
1548151323,6,16
1548152523,3,45
1548153123,13,6
1548153723,13,0
1548154924,3,5
1548156123,3,16
1548156723,6,5
1548157322,3,0
1548158523,4,12
1548159723,4,10
1548160322,7,5
1548160923,7,11
1548161522,8,0
1548162124,7,11
1548162723,8,0
1548163322,3,12
1548164522,6,8
1548165123,6,0
1548165724,8,26
1548166323,9,0
1548166923,9,8
1548168123,12,5
1548169323,11,4
1548169923,11,18
1548170522,9,14
1548171723,5,38
1548172923,5,0
1548174123,6,24
1548174724,7,0
1548175323,7,14
1548175923,3,0
1548176523,9,0
1548177723,7,6
1548178923,5,13
1548179523,1,0
1548180123,4,0
1548180723,12,8
1548181323,15,13
1548181923,3,6
1548182522,6,41
1548183723,5,0
1548184924,4,13
1548186123,10,20
1548187322,6,0
1548187924,10,5
1548188523,5,3
1548189723,17,4
1548190923,5,65
1548192123,7,10
1548192724,8,10
1548193322,11,14
