DateTime,AddedIPs,RemovedIPs
1546045409,3,1
1546048954,0,2
1546056209,1,4
1546059750,2,0
1546063413,4,4
1546066949,1,1
1546070550,2,0
1546074209,3,2
1546077749,2,0
1546081354,0,2
1546084987,1,1
1546088609,1,0
1546092153,0,2
1546099349,1,1
1546103011,2,2
1546106554,1,0
1546110211,1,2
1546113749,2,0
1546120953,2,0
1546128210,0,1
1546135354,0,1
1546142609,2,3
1546146154,1,0
1546149753,1,4
1546153350,2,0
1546157016,1,5
1546160554,2,0
1546167750,2,3
1546171350,2,0
1546174950,0,1
1546178553,0,2
1546182209,1,3
1546185754,1,2
1546189349,1,2
1546193010,1,3
1546196550,2,0
1546203810,2,2
1546207410,1,0
1546247714,2,9
1546248451,3,0
1546250564,3,5
1546257816,1,1
1546265020,0,2
1546268556,4,0
1546272156,2,0
1546275761,3,1
1546282956,5,1
1546286620,1,3
1546290216,1,0
1546297356,0,2
1546301020,4,0
1546304562,0,2
1546308225,1,0
1546311757,0,2
1546315362,4,0
1546319017,0,2
1546322561,1,0
1546326218,1,1
1546329819,2,4
1546333357,1,0
1546336963,0,1
1546340617,2,0
1546344218,0,1
1546347765,0,2
1546351418,1,0
1546355018,1,0
1546358618,1,0
1546362163,2,3
1546365761,1,0
1546369358,4,0
1546372958,2,0
1546380221,1,1
1546383823,1,0
1546387363,0,3
1546398219,2,4
1546401762,1,1
1546405362,1,0
1546409019,1,6
1546412563,2,2
1546416165,1,0
1546423419,2,1
1546426959,1,1
1546430626,1,0
1546434166,1,1
1546437763,0,1
1546441362,2,2
1546445022,1,0
1546448619,2,1
1546452161,1,2
1546459365,0,1
1546462964,2,2
1546466619,1,2
1546470220,1,0
1546473825,1,0
1546477366,2,0
1546480967,1,2
1546488161,2,4
1546491762,1,0
1546495360,2,3
1546498964,2,1
1546502561,4,1
1546506163,2,0
1546509763,0,5
1546513363,1,0
1546516966,0,2
1546520625,1,0
1546524227,1,0
1546527820,0,1
1546531363,0,2
1546534965,1,0
1546538567,0,4
1546542221,1,0
1546545820,2,0
1546549364,1,1
1546552965,2,0
1546556566,3,1
1546560222,1,0
1546563764,1,0
1546567370,0,2
1546571024,0,1
1546574622,3,4
1546581828,3,5
1546585362,2,0
1546588962,1,3
1546596168,0,7
1546599767,1,2
1546606965,2,3
1546610564,1,0
1546617822,1,2
1546624968,1,0
1546628567,3,3
1546632163,0,1
1546635762,3,2
1546639370,1,0
1546653828,1,0
1546657366,1,5
1546660966,1,1
1546668167,2,1
1546671763,3,3
1546675363,1,2
1546678968,2,0
1546682568,1,3
1546686167,1,1
1546689765,0,1
1546697023,1,0
1546700565,0,3
1546704167,0,1
1546707769,1,0
1546711424,1,1
1546715029,1,0
1546718625,3,0
1546722169,2,1
1546725766,1,1
1546733026,1,1
1546736623,0,1
1546743825,1,2
1546747369,1,1
1546751030,0,1
1546758166,3,6
1546761825,1,2
1546765365,1,0
1546769023,0,2
1546772630,1,2
1546776229,1,0
1546779826,1,1
1546786964,2,1
1546790564,0,2
1546797765,1,1
1546805024,2,0
1546808631,1,0
1546815771,0,1
1546819424,1,0
1546830171,0,1
1546833765,1,3
1546837364,1,0
1546840973,0,2
1546844624,1,0
1546848167,2,2
1546851765,1,0
1546855365,1,1
1546859024,1,1
1546862624,1,1
1546866171,1,1
1546869830,2,0
1546873372,2,0
1546876970,1,1
1546880565,0,1
1546884168,2,1
1546887765,0,1
1546891425,3,0
1546898564,1,1
1546905769,1,1
1546913028,1,2
1546916566,1,2
1546920167,2,0
1546923771,0,4
1546930969,2,1
1546934566,2,3
1546938166,1,4
1546941771,0,3
1546945368,2,0
1546952630,2,1
1546953979,0,2
1546959799,3,4
1546963404,1,3
1546967001,1,0
1546970600,1,0
1546974140,2,0
1546977744,1,2
1546981404,1,0
1546984942,3,0
1546988542,2,1
1546992142,0,2
1546995803,1,0
1546999401,0,3
1547006545,2,2
1547010141,0,2
1547013800,0,9
1547017340,2,0
1547020944,2,1
1547024541,0,6
1547031803,2,0
1547042606,1,5
1547046203,2,0
1547049804,0,3
1547053403,2,0
1547060605,3,1
1547064206,0,1
1547067806,2,2
1547071405,1,1
1547078543,1,1
1547089403,2,2
1547093002,1,2
1547096606,2,2
1547103802,1,4
1547107402,1,0
1547110941,1,1
1547114542,0,2
1547118145,2,3
1547125342,1,2
1547129005,1,1
1547136144,1,2
1547139745,1,3
1547141901,1,0
1547143342,0,2
1547147001,1,0
1547161405,1,0
1547172141,0,2
1547175801,1,0
1547179344,2,3
1547183003,1,3
1547186548,1,3
1547190201,2,1
1547193746,3,0
1547197403,0,2
1547200941,2,0
1547204604,4,0
1547208147,0,2
1547211805,3,2
1547215403,1,0
1547219004,1,4
1547222602,1,3
